,title,tag,description,link,voting,author,date
0,Transfer Learning: Leverage Insights from Big Data,machine learning,"In this tutorial, you’ll see what transfer learning is, what some of its applications are and why it is critical skill as a data scientist.",67,43,Lars Hulstaert,"January 19th, 2018"
1,Python String Tutorial,machine learning,"In this tutorial, you'll learn all about Python Strings: slicing and striding, manipulating and formatting them with the Formatter class, f-strings, templates and more!",67,45,Sejal Jaiswal,"January 18th, 2018"
2,Time Series Analysis Tutorial with Python,python,Get Google Trends data of keywords such as 'diet' and 'gym' and see how they vary over time while learning about trends and seasonality in time series data.,67,106,Hugo Bowne-Anderson,"January 17th, 2018"
3,Recommender Systems in Python: Beginner Tutorial,python,"Learn how to build your own recommendation engine with the help of Python, from basic models to content-based and collaborative filtering recommender systems.",67,133,Rounak Banik,"January 16th, 2018"
4,Machine Learning with Kaggle: Feature Engineering,python,"Learn how feature engineering can help you to up your game when building machine learning models in Kaggle: create new columns, transform variables and more!",67,66,Hugo Bowne-Anderson,"January 10th, 2018"
5,8 Useful Shell Commands For Data Science,python,Which shell commands do data scientists use nearly every day? Discover and learn how to use them in this tutorial!,67,132,Alexis Perrier,"January 5th, 2018"
6,Kaggle Tutorial: Your First Machine Learning Model,python,"Learn how to build your first machine learning model, a decision tree classifier, with the Python scikit-learn package, submit it to Kaggle and see how it performs! ",67,108,Hugo Bowne-Anderson,"January 3rd, 2018"
7,Kaggle Tutorial: EDA & Machine Learning,python,"In this Kaggle tutorial, you'll learn how to approach and build supervised learning models with the help of exploratory data analysis (EDA) on the Titanic data.",67,97,Hugo Bowne-Anderson,"December 21st, 2017"
8,Fast-and-Frugal Decision Trees in R with FFTrees,kaggle,An introductory tutorial to fast-and-frugal decision trees in R with the FFTrees package. ,67,32,Nathaniel D. Phillips,"December 20th, 2017"
9,Five Tips to Improve Your R Code,kaggle,"Five useful tips that you can use to effectively improve your R code, from using seq() to create sequences to ditching which() and much more!",67,124,Simon Jackson,"December 13th, 2017"
10,Python Dictionary Comprehension Tutorial,shell,"Learn all about Python dictionary comprehension: how you can use it to create dictionaries, to replace (nested) for loops or lambda functions with map(), filter() and reduce(), ...!",67,73,Sejal Jaiswal,"December 12th, 2017"
11,Python Data Structures Tutorial,shell,"Get introduced to Python data structures: learn more about data types and primitive as well as non-primitive data structures, such as strings, lists, stacks, etc.",67,133,Sejal Jaiswal,"December 8th, 2017"
12,AWS EC2 Tutorial For Beginners,machine learning,Discover why you should use Amazon Web Services Elastic Compute Cloud (EC2) and how you can set up a basic data science environment on a Windows instance.,67,50,Michael Galarnyk,"December 6th, 2017"
13,Convolutional Neural Networks in Python with Keras,machine learning,"In this tutorial, you’ll learn how to implement Convolutional Neural Networks (CNNs) in Python with Keras, and how to overcome overfitting with dropout.",67,101,Aditya Sharma,"December 5th, 2017"
14,Formulas in R Tutorial,python,"Discover the R formula and how you can use it in modeling- and graphical functions of well-known packages such as stats, and ggplot2. ",67,74,Karlijn Willems,"November 23rd, 2017"
15,Pipes in R Tutorial For Beginners,python,"Learn more about the famous pipe operator %>% and other pipes in R, why and how you should use them and what alternatives you can consider!",67,149,Karlijn Willems,"November 16th, 2017"
16,Python List Comprehension Tutorial,r programming,"Learn how to effectively use list comprehension in Python to create lists, to replace (nested) for loops and the map(), filter() and reduce() functions, ...!",67,112,Karlijn Willems,"October 31st, 2017"
17,LDA2vec: Word Embeddings in Topic Models,r programming,"Learn more about LDA2vec, a model that learns dense word vectors jointly with Dirichlet-distributed latent document-level mixtures of topic vectors.",67,69,Lars Hulstaert,"October 19th, 2017"
18,Python Loops Tutorial,r programming,"A comprehensive introductory tutorial to Python loops. Learn and practice while and for loops, nested loops, the break and continue keywords, the range function and more!",67,61,Satyabrata Pal,"October 18th, 2017"
19,Web Scraping & NLP in Python,r programming,"Learn to scrape novels from the web and plot word frequency distributions; You will gain experience with Python packages requests, BeautifulSoup and nltk.",67,108,Hugo Bowne-Anderson,"October 13th, 2017"
20,"Hierarchical indices, groupby and pandas",python,"In this tutorial, you’ll learn about multi-indices for pandas DataFrames and how they arise naturally from groupby operations on real-world data sets.",67,65,Hugo Bowne-Anderson,"October 2nd, 2017"
21,"Groupby, split-apply-combine and pandas",python,"In this tutorial, you'll learn how to use the pandas groupby operation, which draws from the well-known split-apply-combine strategy, on Netflix movie data.",67,106,Hugo Bowne-Anderson,"September 26th, 2017"
22,Poker Probability and Statistics with Python,python,"Tackle probability and statistics in Python: learn more about combinations and permutations, dependent and independent events, and expected value.",67,66,Daniel Poston,"September 21st, 2017"
23,Graph Optimization with NetworkX in Python,python,This NetworkX tutorial will show you how to do graph optimization in Python by solving the Chinese Postman Problem in Python. ,67,69,Andrew Brooks,"September 12th, 2017"
24,Detecting Fake News with Scikit-Learn,learning data science,This scikit-learn tutorial will walk you through building a fake news classifier with the help of Bayesian models. ,67,91,Katharine Jarmul,"August 24th, 2017"
25,Python Seaborn Tutorial For Beginners,learning data science,This Seaborn tutorial introduces you to the basics of statistical data visualization ,67,121,Karlijn Willems,"August 10th, 2017"
26,Apache Spark Tutorial: ML with PySpark,python,"Apache Spark tutorial introduces you to big data processing, analysis and ML with PySpark.",67,81,Karlijn Willems,"July 28th, 2017"
27,Scikit-Learn Tutorial: Baseball Analytics  Pt 2,python,A Scikit-Learn tutorial to using logistic regression and random forest models to predict which baseball players will be voted into the Hall of Fame,67,28,Daniel Poston,"June 20th, 2017"
28,The data.table R Package Cheat Sheet,r programming,"The data.table cheat sheet helps you master the syntax of this R package, and helps you to do data manipulations.",67,32,Karlijn Willems,"June 19th, 2017"
29,5 Tips To Write Idiomatic Pandas Code,r programming,This tutorial covers 5 ways in which you can easily write pandorable or more idiomatic Pandas code. ,67,29,Yassine Alouini,"May 29th, 2017"
30,Asyncio: An Introduction,r programming,A short introduction to asynchronous I/O with the asyncio package. ,67,11,,"May 8th, 2017"
31,Scikit-Learn Tutorial: Baseball Analytics Pt 1,r programming,A scikit-learn tutorial to predicting MLB wins per season by modeling data to KMeans clustering model and linear regression models. ,67,38,Daniel Poston,"May 4th, 2017"
32,Viewing 3D Volumetric Data With Matplotlib,python,"In this Python tutorial, you'll make use of Matplotlib's event handler API to display the slices of an MRI data set.  ",67,23,Juan  Nunez-Iglesias,"April 19th, 2017"
33,The R Graph Gallery's Top 5 Most Visited Graph Themes,python,A list of the 5 most popular graphs among R users and enthusiasts. ,67,11,Yan Holtz,"April 14th, 2017"
34,Exploratory Data Analysis of Craft Beers: Data Profiling,machine learning,"In this tutorial, you'll learn about exploratory data analysis (EDA) in Python, and more specifically, data profiling with pandas.",67,31,Jean-Nicholas Hould,"April 13th, 2017"
35,Apache Spark in Python: Beginner's Guide,machine learning,"A beginner's guide to Spark in Python based on 9 popular questions, such as how to install PySpark in Jupyter Notebook, best practices,... ",67,109,Karlijn Willems,"March 28th, 2017"
36,Deep Learning With Jupyter Notebooks In The Cloud,python,This step-by-step tutorial will show you how to set up and use Jupyter Notebook on Amazon Web Services (AWS) EC2 GPU for deep learning. ,67,106,Dan Becker,"March 23rd, 2017"
